DriverId,raceName,raceAddress,Stint_Compound_1,Stint_Laps_1,Stint_Compound_2,Stint_Laps_2,Stint_Compound_3,Stint_Laps_3,Stint_Compound_4,Stint_Laps_4,Stint_Compound_5,Stint_Laps_5,Stint_Compound_6,Stint_Laps_6,positionStart,positionFinish,raceLength,raceTurns,raceLaps,raceCondition,Year
hamilton,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Super soft,10,Soft,21,Soft,24,,,,,,,2,1,5.554 km,21,55,Dry,2014
massa,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Super soft,13,Soft,30,Super soft,12,,,,,,,4,2,5.554 km,21,55,Dry,2014
bottas,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Super soft,10,Soft,25,Soft,20,,,,,,,3,3,5.554 km,21,55,Dry,2014
ricciardo,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Soft,27,Soft,20,Super soft,8,,,,,,,20,4,5.554 km,21,55,Dry,2014
button,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Super soft,6,Soft,22,Soft,27,,,,,,,6,5,5.554 km,21,55,Dry,2014
Nico Hulkenberg,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Soft,15,Soft,22,Super soft,18,,,,,,,12,6,5.554 km,21,55,Dry,2014
Sergio Perez,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Soft,14,Soft,27,Super soft,14,,,,,,,11,7,5.554 km,21,55,Dry,2014
vettel,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Soft,21,Soft,25,Super soft,9,,,,,,,19,8,5.554 km,21,55,Dry,2014
alonso,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Super soft,5,Soft,22,Soft,28,,,,,,,8,9,5.554 km,21,55,Dry,2014
Kimi Raikkonen,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Super soft,6,Soft,20,Soft,29,,,,,,,7,10,5.554 km,21,55,Dry,2014
kevin_magnussen,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Soft,21,Super soft,8,Soft,27,,,,,,,9,11,5.554 km,21,55,Dry,2014
Jean-Eric Vergne,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Soft,13,Soft,17,Soft,14,Super soft,11,,,,,10,12,5.554 km,21,55,Dry,2014
grosjean,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Super soft,8,Super soft,13,Soft,33,Soft,1,,,,,18,13,5.554 km,21,55,Dry,2014
rosberg,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Super soft,11,Soft,23,Soft,20,,,,,,,1,14,5.554 km,21,55,Dry,2014
Esteban Gutierrez,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Super soft,7,Soft,21,Soft,26,,,,,,,14,15,5.554 km,21,55,Dry,2014
sutil,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Super soft,5,Soft,17,Soft,15,Soft,17,,,,,13,16,5.554 km,21,55,Dry,2014
kobayashi,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Super soft,15,Soft,21,Super soft,6,,,,,,,16,DNF,5.554 km,21,55,Dry,2014
maldonado,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Super soft,7,Soft,19,,,,,,,,,15,DNF,5.554 km,21,55,Dry,2014
kvyat,Abu Dhabi Grand Prix,Yas Marina Circuit - Yas Island - Abu Dhabi - United Arab Emirates,Super soft,6,Soft,8,,,,,,,,,5,DNF,5.554 km,21,55,Dry,2014
rosberg,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Soft,12,Soft,26,Medium,19,,,,,,,3,1,5.303 km,14,58,Dry,2014
kevin_magnussen,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Soft,12,Soft,25,Medium,20,,,,,,,4,2,5.303 km,14,58,Dry,2014
button,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Soft,11,Soft,21,Medium,25,,,,,,,10,3,5.303 km,14,58,Dry,2014
alonso,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Soft,12,Soft,23,Medium,22,,,,,,,5,4,5.303 km,14,58,Dry,2014
bottas,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Soft,10,Soft,26,Medium,21,,,,,,,15,5,5.303 km,14,58,Dry,2014
Nico Hulkenberg,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Soft,12,Soft,21,Medium,24,,,,,,,7,6,5.303 km,14,58,Dry,2014
Kimi Raikkonen,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Soft,12,Soft,24,Medium,21,,,,,,,11,7,5.303 km,14,58,Dry,2014
Jean-Eric Vergne,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Soft,12,Soft,21,Medium,24,,,,,,,6,8,5.303 km,14,58,Dry,2014
kvyat,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Soft,12,Medium,24,Soft,21,,,,,,,8,9,5.303 km,14,58,Dry,2014
Sergio Perez,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Soft,1,Medium,10,Soft,21,Soft,25,,,,,16,10,5.303 km,14,58,Dry,2014
sutil,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Soft,35,Medium,21,,,,,,,,,13,11,5.303 km,14,58,Dry,2014
Esteban Gutierrez,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Medium,1,Soft,29,Soft,26,,,,,,,20,12,5.303 km,14,58,Dry,2014
chilton,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Soft,24,Soft,17,Medium,14,,,,,,,17,13,5.303 km,14,58,Dry,2014
jules_bianchi,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Soft,20,Soft,15,Medium,14,,,,,,,18,DNF,5.303 km,14,58,Dry,2014
grosjean,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Soft,28,Soft,15,,,,,,,,,PIT,DNF,5.303 km,14,58,Dry,2014
maldonado,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Soft,29,Soft,1,,,,,,,,,21,DNF,5.303 km,14,58,Dry,2014
ericsson,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Soft,23,Soft,4,,,,,,,,,19,DNF,5.303 km,14,58,Dry,2014
vettel,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Medium,3,,,,,,,,,,,12,DNF,5.303 km,14,58,Dry,2014
hamilton,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Soft,1,,,,,,,,,,,1,DNF,5.303 km,14,58,Dry,2014
massa,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",,,,,,,,,,,,,9,DNF,5.303 km,14,58,Dry,2014
kobayashi,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",,,,,,,,,,,,,14,DNF,5.303 km,14,58,Dry,2014
ricciardo,Australian Grand Prix,"12 Aughtie Dr, Albert Park VIC 3206, Australia",Soft,12,Soft,24,Medium,21,,,,,,,2,DNF,5.303 km,14,58,Dry,2014
rosberg,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Super soft,11,Soft,29,Soft,31,,,,,,,3,1,4.326 km,10,71,Dry,2014
hamilton,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Super soft,13,Soft,26,Soft,32,,,,,,,9,2,4.326 km,10,71,Dry,2014
bottas,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Super soft,15,Soft,26,Soft,30,,,,,,,2,3,4.326 km,10,71,Dry,2014
massa,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Super soft,14,Soft,29,Soft,28,,,,,,,1,4,4.326 km,10,71,Dry,2014
alonso,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Super soft,14,Soft,33,Soft,24,,,,,,,4,5,4.326 km,10,71,Dry,2014
Sergio Perez,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Soft,29,Soft,26,Super soft,16,,,,,,,15,6,4.326 km,10,71,Dry,2014
kevin_magnussen,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Super soft,10,Soft,30,Soft,31,,,,,,,6,7,4.326 km,10,71,Dry,2014
ricciardo,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Super soft,10,Soft,33,Soft,28,,,,,,,5,8,4.326 km,10,71,Dry,2014
Nico Hulkenberg,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Super soft,9,Soft,30,Soft,32,,,,,,,10,9,4.326 km,10,71,Dry,2014
Kimi Raikkonen,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Super soft,15,Soft,29,Soft,27,,,,,,,8,10,4.326 km,10,71,Dry,2014
button,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Soft,27,Soft,31,Super soft,13,,,,,,,11,11,4.326 km,10,71,Dry,2014
maldonado,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Soft,26,Soft,30,Super soft,14,,,,,,,13,12,4.326 km,10,71,Dry,2014
sutil,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Super soft,11,Soft,32,Soft,27,,,,,,,16,13,4.326 km,10,71,Dry,2014
grosjean,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Super soft,3,Soft,24,Soft,43,,,,,,,PIT,14,4.326 km,10,71,Dry,2014
jules_bianchi,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Soft,40,Super soft,29,,,,,,,,,18,15,4.326 km,10,71,Dry,2014
kobayashi,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Super soft,14,Soft,55,,,,,,,,,19,16,4.326 km,10,71,Dry,2014
chilton,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Soft,37,Super soft,32,,,,,,,,,21,17,4.326 km,10,71,Dry,2014
ericsson,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Soft,28,Super soft,15,Soft,26,,,,,,,20,18,4.326 km,10,71,Dry,2014
Esteban Gutierrez,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Super soft,12,Soft,33,Soft,24,,,,,,,17,19,4.326 km,10,71,Dry,2014
Jean-Eric Vergne,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Super soft,8,Soft,31,Soft,20,,,,,,,14,DNF,4.326 km,10,71,Dry,2014
vettel,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Super soft,20,Soft,8,Soft,6,,,,,,,12,DNF,4.326 km,10,71,Dry,2014
kvyat,Austrian Grand Prix,"Red Bull Ring Str. 1, 8724 Spielberg, Austria",Super soft,10,Soft,14,,,,,,,,,7,DNF,4.326 km,10,71,Dry,2014
hamilton,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,19,Soft,22,Medium,16,,,,,,,2,1,5.412 km,15,57,Dry,2014
rosberg,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,21,Medium,20,Soft,16,,,,,,,1,2,5.412 km,15,57,Dry,2014
Sergio Perez,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,16,Soft,18,Medium,23,,,,,,,4,3,5.412 km,15,57,Dry,2014
ricciardo,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,18,Medium,17,Soft,22,,,,,,,13,4,5.412 km,15,57,Dry,2014
Nico Hulkenberg,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,15,Soft,20,Medium,22,,,,,,,11,5,5.412 km,15,57,Dry,2014
vettel,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Medium,16,Soft,18,Soft,23,,,,,,,10,6,5.412 km,15,57,Dry,2014
massa,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,13,Soft,15,Soft,10,Medium,19,,,,,7,7,5.412 km,15,57,Dry,2014
bottas,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,10,Soft,15,Soft,15,Medium,17,,,,,3,8,5.412 km,15,57,Dry,2014
alonso,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,12,Soft,16,Medium,13,Medium,16,,,,,9,9,5.412 km,15,57,Dry,2014
Kimi Raikkonen,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,13,Soft,20,Medium,8,Medium,16,,,,,5,10,5.412 km,15,57,Dry,2014
kvyat,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,10,Soft,14,Medium,15,Soft,18,,,,,12,11,5.412 km,15,57,Dry,2014
grosjean,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,13,Soft,15,Medium,9,Soft,20,,,,,16,12,5.412 km,15,57,Dry,2014
chilton,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,11,Soft,17,Medium,12,Soft,17,,,,,21,13,5.412 km,15,57,Dry,2014
maldonado,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,19,Soft,20,Medium,1,Soft,17,,,,,17,14,5.412 km,15,57,Dry,2014
kobayashi,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,15,Soft,20,Medium,22,,,,,,,18,15,5.412 km,15,57,Dry,2014
jules_bianchi,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,10,Soft,3,Medium,18,Soft,9,Medium,16,,,19,16,5.412 km,15,57,Dry,2014
button,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,17,Soft,18,Medium,20,,,,,,,6,17,5.412 km,15,57,Dry,2014
kevin_magnussen,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,14,Soft,11,Soft,13,Medium,2,,,,,8,DNF,5.412 km,15,57,Dry,2014
Esteban Gutierrez,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,12,Soft,15,Soft,12,,,,,,,15,DNF,5.412 km,15,57,Dry,2014
ericsson,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,11,Soft,15,Soft,7,,,,,,,20,DNF,5.412 km,15,57,Dry,2014
Jean-Eric Vergne,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Soft,1,Medium,13,Soft,4,,,,,,,14,DNF,5.412 km,15,57,Dry,2014
sutil,Bahrain Grand Prix,"Gate 255, Gulf of Bahrain Avenue Umm Jidar, Sakhir? 1062, Bahrain",Medium,7,Soft,6,Soft,4,,,,,,,22,DNF,5.412 km,15,57,Dry,2014
ricciardo,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,11,Soft,16,Medium,17,,,,,,,5,1,7.004 km,20,53,Dry,2014
rosberg,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,8,Medium,11,Medium,15,Soft,10,,,,,1,2,7.004 km,20,53,Dry,2014
bottas,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,12,Soft,16,Medium,16,,,,,,,6,3,7.004 km,20,53,Dry,2014
Kimi Raikkonen,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,8,Soft,13,Medium,23,,,,,,,8,4,7.004 km,20,53,Dry,2014
vettel,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,10,Soft,12,Medium,12,Soft,10,,,,,3,5,7.004 km,20,53,Dry,2014
button,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,13,Soft,16,Medium,15,,,,,,,10,6,7.004 km,20,53,Dry,2014
alonso,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,12,Soft,13,Medium,19,,,,,,,4,7,7.004 km,20,53,Dry,2014
Sergio Perez,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,9,Soft,13,Medium,22,,,,,,,13,8,7.004 km,20,53,Dry,2014
kvyat,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,10,Soft,14,Medium,20,,,,,,,11,9,7.004 km,20,53,Dry,2014
Nico Hulkenberg,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,10,Medium,20,Soft,14,,,,,,,18,10,7.004 km,20,53,Dry,2014
Jean-Eric Vergne,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,15,Medium,14,Soft,15,,,,,,,12,11,7.004 km,20,53,Dry,2014
kevin_magnussen,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,11,Soft,12,Medium,21,,,,,,,7,12,7.004 km,20,53,Dry,2014
massa,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,9,Medium,12,Soft,14,Soft,9,,,,,9,13,7.004 km,20,53,Dry,2014
sutil,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Medium,11,Soft,10,Soft,13,Soft,10,,,,,14,14,7.004 km,20,53,Dry,2014
Esteban Gutierrez,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,14,Soft,16,Medium,14,,,,,,,20,15,7.004 km,20,53,Dry,2014
chilton,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,11,Medium,18,Soft,14,,,,,,,19,16,7.004 km,20,53,Dry,2014
ericsson,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,11,Medium,13,Soft,19,,,,,,,22,17,7.004 km,20,53,Dry,2014
jules_bianchi,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,1,Soft,22,Medium,16,,,,,,,16,18,7.004 km,20,53,Dry,2014
hamilton,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,2,Medium,15,Soft,14,Medium,7,,,,,2,DNF,7.004 km,20,53,Dry,2014
grosjean,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,1,Medium,12,Soft,14,Soft,6,,,,,15,DNF,7.004 km,20,53,Dry,2014
maldonado,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,1,,,,,,,,,,,17,DNF,7.004 km,20,53,Dry,2014
Andre Lotterer,Belgian Grand Prix,"Rte du Circuit 55, 4970 Stavelot, Belgium",Soft,1,,,,,,,,,,,21,DNF,7.004 km,20,53,Dry,2014
rosberg,Brazilian Grand Prix,"Av. Sen. Teot么nio Vilela, 261 - Interlagos, S茫o Paulo - SP, 04801-010, Brazil",Soft,7,Medium,19,Medium,24,Medium,21,,,,,1,1,4.309 km,15,71,Dry,2014
hamilton,Brazilian Grand Prix,"Av. Sen. Teot么nio Vilela, 261 - Interlagos, S茫o Paulo - SP, 04801-010, Brazil",Soft,8,Medium,20,Medium,23,Medium,20,,,,,2,2,4.309 km,15,71,Dry,2014
massa,Brazilian Grand Prix,"Av. Sen. Teot么nio Vilela, 261 - Interlagos, S茫o Paulo - SP, 04801-010, Brazil",Soft,5,Medium,20,Medium,25,Medium,21,,,,,3,3,4.309 km,15,71,Dry,2014
button,Brazilian Grand Prix,"Av. Sen. Teot么nio Vilela, 261 - Interlagos, S茫o Paulo - SP, 04801-010, Brazil",Soft,6,Medium,21,Medium,23,Medium,21,,,,,5,4,4.309 km,15,71,Dry,2014
vettel,Brazilian Grand Prix,"Av. Sen. Teot么nio Vilela, 261 - Interlagos, S茫o Paulo - SP, 04801-010, Brazil",Soft,6,Medium,18,Medium,24,Medium,23,,,,,6,5,4.309 km,15,71,Dry,2014
alonso,Brazilian Grand Prix,"Av. Sen. Teot么nio Vilela, 261 - Interlagos, S茫o Paulo - SP, 04801-010, Brazil",Soft,7,Medium,21,Medium,24,Medium,19,,,,,8,6,4.309 km,15,71,Dry,2014
Kimi Raikkonen,Brazilian Grand Prix,"Av. Sen. Teot么nio Vilela, 261 - Interlagos, S茫o Paulo - SP, 04801-010, Brazil",Soft,8,Medium,27,Medium,36,,,,,,,10,7,4.309 km,15,71,Dry,2014
Nico Hulkenberg,Brazilian Grand Prix,"Av. Sen. Teot么nio Vilela, 261 - Interlagos, S茫o Paulo - SP, 04801-010, Brazil",Medium,16,Medium,20,Medium,24,Soft,11,,,,,12,8,4.309 km,15,71,Dry,2014
kevin_magnussen,Brazilian Grand Prix,"Av. Sen. Teot么nio Vilela, 261 - Interlagos, S茫o Paulo - SP, 04801-010, Brazil",Soft,7,Medium,19,Medium,21,Medium,24,,,,,7,9,4.309 km,15,71,Dry,2014
bottas,Brazilian Grand Prix,"Av. Sen. Teot么nio Vilela, 261 - Interlagos, S茫o Paulo - SP, 04801-010, Brazil",Soft,6,Medium,20,Medium,16,Medium,28,,,,,4,10,4.309 km,15,71,Dry,2014
kvyat,Brazilian Grand Prix,"Av. Sen. Teot么nio Vilela, 261 - Interlagos, S茫o Paulo - SP, 04801-010, Brazil",Medium,18,Medium,20,Medium,21,Soft,11,,,,,17,11,4.309 km,15,71,Dry,2014
maldonado,Brazilian Grand Prix,"Av. Sen. Teot么nio Vilela, 261 - Interlagos, S茫o Paulo - SP, 04801-010, Brazil",Soft,4,Medium,23,Medium,18,Medium,25,,,,,16,12,4.309 km,15,71,Dry,2014
Jean-Eric Vergne,Brazilian Grand Prix,"Av. Sen. Teot么nio Vilela, 261 - Interlagos, S茫o Paulo - SP, 04801-010, Brazil",Soft,9,Medium,18,Medium,19,Medium,24,,,,,15,13,4.309 km,15,71,Dry,2014
Esteban Gutierrez,Brazilian Grand Prix,"Av. Sen. Teot么nio Vilela, 261 - Interlagos, S茫o Paulo - SP, 04801-010, Brazil",Soft,8,Medium,19,Medium,21,Medium,22,,,,,11,14,4.309 km,15,71,Dry,2014
Sergio Perez,Brazilian Grand Prix,"Av. Sen. Teot么nio Vilela, 261 - Interlagos, S茫o Paulo - SP, 04801-010, Brazil",Soft,5,Medium,20,Medium,22,Medium,23,,,,,18,15,4.309 km,15,71,Dry,2014
sutil,Brazilian Grand Prix,"Av. Sen. Teot么nio Vilela, 261 - Interlagos, S茫o Paulo - SP, 04801-010, Brazil",Medium,18,Medium,21,Soft,10,Medium,21,,,,,13,16,4.309 km,15,71,Dry,2014
grosjean,Brazilian Grand Prix,"Av. Sen. Teot么nio Vilela, 261 - Interlagos, S茫o Paulo - SP, 04801-010, Brazil",Medium,24,Medium,16,Medium,19,Soft,4,,,,,14,17,4.309 km,15,71,Dry,2014
ricciardo,Brazilian Grand Prix,"Av. Sen. Teot么nio Vilela, 261 - Interlagos, S茫o Paulo - SP, 04801-010, Brazil",Soft,7,Medium,20,Medium,12,,,,,,,9,DNF,4.309 km,15,71,Dry,2014
hamilton,British Grand Prix,"Hilton Garden Inn, Silverstone Circuit, Towcester NN12 8TL",Medium,24,Hard,17,Hard,11,,,,,,,6,1,5.891 km,18,67,Dry,2014
bottas,British Grand Prix,"Hilton Garden Inn, Silverstone Circuit, Towcester NN12 8TL",Medium,1,Medium,30,Hard,21,,,,,,,14,2,5.891 km,18,67,Dry,2014
ricciardo,British Grand Prix,"Hilton Garden Inn, Silverstone Circuit, Towcester NN12 8TL",Medium,1,Hard,14,Medium,37,,,,,,,8,3,5.891 km,18,67,Dry,2014
button,British Grand Prix,"Hilton Garden Inn, Silverstone Circuit, Towcester NN12 8TL",Medium,28,Hard,24,,,,,,,,,3,4,5.891 km,18,67,Dry,2014
vettel,British Grand Prix,"Hilton Garden Inn, Silverstone Circuit, Towcester NN12 8TL",Medium,1,Hard,9,Medium,23,Medium,19,,,,,2,5,5.891 km,18,67,Dry,2014
alonso,British Grand Prix,"Hilton Garden Inn, Silverstone Circuit, Towcester NN12 8TL",Hard,1,Medium,24,Medium,27,,,,,,,16,6,5.891 km,18,67,Dry,2014
kevin_magnussen,British Grand Prix,"Hilton Garden Inn, Silverstone Circuit, Towcester NN12 8TL",Medium,27,Hard,25,,,,,,,,,5,7,5.891 km,18,67,Dry,2014
Nico Hulkenberg,British Grand Prix,"Hilton Garden Inn, Silverstone Circuit, Towcester NN12 8TL",Medium,29,Hard,23,,,,,,,,,4,8,5.891 km,18,67,Dry,2014
kvyat,British Grand Prix,"Hilton Garden Inn, Silverstone Circuit, Towcester NN12 8TL",Medium,14,Medium,21,Hard,17,,,,,,,9,9,5.891 km,18,67,Dry,2014
Jean-Eric Vergne,British Grand Prix,"Hilton Garden Inn, Silverstone Circuit, Towcester NN12 8TL",Medium,1,Hard,26,Medium,24,,,,,,,10,10,5.891 km,18,67,Dry,2014
Sergio Perez,British Grand Prix,"Hilton Garden Inn, Silverstone Circuit, Towcester NN12 8TL",Medium,1,Hard,25,Medium,25,,,,,,,7,11,5.891 km,18,67,Dry,2014
grosjean,British Grand Prix,"Hilton Garden Inn, Silverstone Circuit, Towcester NN12 8TL",Medium,1,Hard,29,Medium,21,,,,,,,11,12,5.891 km,18,67,Dry,2014
sutil,British Grand Prix,"Hilton Garden Inn, Silverstone Circuit, Towcester NN12 8TL",Medium,1,Medium,22,Hard,28,,,,,,,13,13,5.891 km,18,67,Dry,2014
jules_bianchi,British Grand Prix,"Hilton Garden Inn, Silverstone Circuit, Towcester NN12 8TL",Medium,1,Medium,28,Hard,22,,,,,,,12,14,5.891 km,18,67,Dry,2014
